Trailer,Owner,VIN #,License #,Length,Year,Manufacturer,Reg Date
53758,,1UYVS2533YP187611,TJM56A,53,2000,UTI,19-Mar
53757,Elmo,1UYVS2531XP187610,TKX78X,53,2000,UTI,16-Mar
53756,,1UYVS2535YP187609,,53,2000,UTI,
53755,,1UYVS2533YP187608,TJM44A,53,2000,UTI,19-Mar
53753,Elmo,1UYVS253XYP187606,TJM57A,53,2000,UTI,19-Mar
53752,,1UYVS2538YP187605,TKX77Y,53,2000,UTI,16-Mar
53751,,1UYVS2536YP187604,TMZ57G,53,2000,UTI,18-Mar
53749,,1UYVS2532YP187602,,53,2000,UTI,
53748,,1UYVS2530YP187601,TJH72U,53,2000,UTI,14-Mar
53747,,1UYVS2530XP782270,TFX33D,53,99,UTI,12-Mar
53744,,1UYVS2530XP782267,TFX10B,53,99,UTI,12-Mar
53743,,1UYVS2539XP782266,TFX96A,53,99,UTI,12-Mar
53741,,1UYVS2535XP782264,TGE44R,53,99,UTI,12-Mar
53739,,1UYVS2531XP782262,TKX53X,53,99,UTI,16-Mar
53735,RSD,1UYVS25XXP782258,TGE36R,53,99,UTI,12-Mar
53734,,1UYVS2538XP782257,,53,99,UTI,
53733,,1UYVS2536XP782256,TGE37R,53,99,UTI,12-Mar
53731,,1UYVS2532XP782254,TFX95A,53,99,UTI,12-Mar
53728,,1UYVS2537XP782251,TJM50A,53,99,UTI,19-Mar
53727,,1UYVS2535XP782250,TJM47A,53,99,UTI,19-Mar
53725,,1UYVS2537XP782248,TJH74U,53,99,UTI,14-Mar
53721,,1UYVS253XXP782244,TJM48A,53,99,UTI,19-Mar
53720,,1UYVS2538XP782243,TJH90T,53,99,UTI,12-Mar
53717,,1UYVS2532XP782240,TJM49A,53,99,UTI,19-Mar
53714,,1UYVS2532XP782237,TFX99A,53,99,UTI,12-Mar
53711,,1UYVS2537XP782234,TGL91P,53,99,UTI,17-Mar
53707,,1UYVS253XXP782230,TJM46A,53,99,UTI,19-Mar
53703,,1UYVS2538XP782226,TJH73U,53,99,UTI,14-Mar
53701,,1UYVS2534XP782224,TJH88T,53,99,UTI,14-Mar
53700,,1UYVS2532XP782223,TFX97A,53,99,UTI,12-Mar
53694,,1UYVS2537XP782217,TFX94A,53,99,UTI,12-Mar
53691,,1UYVS2531XP782214,TFX15A,53,99,UTI,12-Mar
53690,,1UYVS253XXP782213,TFX32D,53,99,UTI,12-Mar
536889,,1GRAA0624TB128444,TEF61L,53,96,GD,19-Mar
53687,RSD,1UYVS2534XP782210,TGE51R,53,99,UTI,12-Mar
53684,,1UYVS2534XP782207,TFX98A,53,99,UTI,12-Mar
53683,,1JJV532U6LL147300,TAR97J,53,90,WAB,12-Mar
536804,,1PTO1JAHXT6008518,TEF52L,53,96,TRI,19-Mar
53678,,1UYVS2533XP782201,TGX94Y,53,99,UTI,17-Mar
53677,,1UYVS2533WP519950,TGL95P,53,98,UTI,13-Mar
536767,,1PT01JAH8T6008517,TEF53L,53,96,TRI,19-Mar
536766,,2M5921612T1041549,TEF54L,53,96,MAN,19-Mar
53674,,1UYVS2533WP519947,TLS76P,53,98,UTI,16-Mar
53671,,1UYVS2536WP519943,TGE38R,53,98,UTI,12-Mar
53670,,1UYVS2536WP519943,TGE49R,53,97,UTI,12-Mar
53669,,1UYVS2534WP519942,TJM40A,53,98,UTI,19-Mar
53668,,1UYVS2532WP519941,TGE40R,53,98,UTI,12-Mar
53667,,1UYVS2530WP519940,TGE45R,53,98,UTI,12-Mar
53665,,1UYVS2531VP064238,TCB50G,53,97,UTI,13-Mar
53664,,1UYVS2530WP519937,TJH76U,53,98,UTI,14-Mar
53663,,1UYVS2539WP519936,TGE50R,53,98,UTI,12-Mar
53662,,1UYVS2537WP519935,TGE53R,53,98,UTI,12-Mar
53661,,1UYVS2535WP519934,TGE47R,53,97,UTI,12-Mar
53657,,1UYVS2538WP519930,TGL93P,53,98,UTI,13-Mar
53656,,1UYVS2531WP519929,TJN78M,53,98,UTI,12-Mar
53655,,1UYVS253XWP519928,TJH75U,53,98,UTI,14-Mar
536531,,1H2VO5322TE077614,TEF50L,53,96,FRU,19-Mar
53653,,1UYVS2536WP519926,TGE34R,53,98,UTI,12-Mar
53652,,1UYVS2534WP519925,TGL92P,53,97,UTI,13-Mar
53651,,1UYVS2532WP519924,TJH87T,53,98,UTI,14-Mar
53650,,1UYVS2530WP519923,TGL94P,53,98,UTI,17-Mar
53649,,1UYVS2539WP51992,TJM41A,53,98,UTI,19-Mar
53648,,1UYVS2537WP519921,TGE43R,53,98,UTI,12-Mar
53647,,1UYVS2535WP519920,TGE42R,53,98,UTI,12-Mar
53646,,1UYVS2539WP519919,TJM54A,53,98,UTI,19-Mar
53645,,1UYVS2537WP519935,TGE52R,53,98,UTI,12-Mar
53642,,1UYVS2531WP519915,TGE54R,53,98,UTI,12-Mar
53641,,1UYVS253XWP519914,TGE55R,53,98,UTI,12-Mar
53635,,1UYVS2534WP519908,TGE39R,53,98,UTI,10-Mar
53630,,1JJV532U7LL142882,TAR99J,53,90,WAB,12-Mar
5362,,1H2VO5323NB015403,T26Z7B,53,0,FRU,14-Mar
